P_out, P_c, E,dE/dP, M, R
9.95E-13,1.5,124.2207269,27.34382842,0.124607211,22.306
9.74E-13,1.6,126.8983474,26.22872022,0.13053786,20.993
9.78E-13,1.7,129.4701736,25.22483298,0.136457762,19.945
9.87E-13,1.8,131.9464606,24.31545042,0.142342048,19.089
9.89E-13,1.9,134.3359628,23.48712349,0.148206447,18.383
9.58E-13,2,136.6462199,22.72889914,0.154028708,17.789
9.30E-13,2.1,138.8837771,22.03175948,0.159810371,17.284
9.46E-13,2.2,141.0543567,21.38820684,0.16554585,16.849
9.17E-13,2.3,143.162994,20.79195209,0.171237074,16.474
9.30E-13,2.4,145.2141456,20.23767733,0.176878943,16.143
9.94E-13,2.5,147.2117771,19.72085276,0.182473529,15.852
9.72E-13,2.6,149.1594344,19.23759391,0.188022713,15.596
9.30E-13,2.7,151.0603025,18.78454908,0.193521752,15.367
8.90E-13,2.8,152.917254,18.35880971,0.198972575,15.161
9.00E-13,2.9,154.7328897,17.9578385,0.204377019,14.977
9.15E-13,3,156.5095728,17.57941109,0.209736733,14.81
9.69E-13,3.1,158.2494578,17.22156862,0.215041036,14.656
9.10E-13,3.2,159.9545148,16.88257868,0.220310033,14.519
9.94E-13,3.3,161.6265505,16.56090301,0.225526941,14.392
9.90E-13,3.4,163.2672266,16.25517064,0.230699374,14.276
9.45E-13,3.5,164.8780751,15.96415544,0.23582875,14.17
9.83E-13,3.6,166.4605115,15.6867572,0.240910613,14.07
8.44E-13,3.7,168.0158473,15.4219856,0.245957797,13.981
9.44E-13,3.8,169.5452996,15.16894665,0.250960012,13.897
8.58E-13,3.9,171.0500006,14.92683105,0.255918571,13.819
9.32E-13,4,172.5310054,14.69490427,0.26084018,13.745
9.69E-13,4.1,173.9892988,14.47249797,0.265714956,13.677
8.24E-13,4.2,175.425802,14.25900258,0.270560296,13.615
8.98E-13,4.3,176.8413777,14.0538609,0.275360945,13.555
9.65E-13,4.4,178.2368355,13.8565625,0.280123319,13.499
8.11E-13,4.5,179.612936,13.66663882,0.284853596,13.449
9.95E-13,4.6,180.9703947,13.48365895,0.289542168,13.398
8.36E-13,4.7,182.309886,13.30722579,0.294200304,13.354
7.93E-13,4.8,183.6320458,13.13697281,0.298818518,13.311
8.74E-13,4.9,184.9374752,12.97256109,0.303402752,13.269
7.86E-13,5,186.2267423,12.81367673,0.307958774,13.232
8.74E-13,6,198.3363686,11.47371889,0.351716989,12.942
8.89E-13,7,209.2827534,10.46251707,0.392612469,12.765
7.24E-13,8,219.3329974,9.667561236,0.431028324,12.65
9.83E-13,9,228.6678347,9.023259821,0.467268891,12.571
9.76E-13,10,237.415909,8.488580687,0.501578819,12.516
7.50E-13,11,245.6724157,8.036432261,0.534162708,12.477
8.51E-13,12,253.5100034,7.648147141,0.565187042,12.448
9.71E-13,13,260.9855205,7.310409095,0.594792944,12.426
7.31E-13,14,268.1443857,7.013442501,0.623109065,12.411
5.65E-13,15,275.0235267,6.749895338,0.650232923,12.398
8.83E-13,16,281.6534211,6.514122958,0.676260662,12.388
7.83E-13,17,288.0595503,6.301713551,0.701273213,12.381
5.30E-13,18,294.2634609,6.10916475,0.725341731,12.376
4.65E-13,19,300.2835546,5.933657748,0.748529199,12.371
7.66E-13,20,306.135687,5.772896104,0.770894471,12.367
6.45E-13,21,311.833628,5.624988468,0.792487629,12.364
8.78E-13,22,317.3894215,5.488361823,0.813353773,12.36
7.96E-13,23,322.8136698,5.361696281,0.833538803,12.358
4.50E-13,24,328.1157605,5.243875432,0.853079448,12.355
3.20E-13,25,333.3040503,5.133948021,0.872011651,12.354
6.58E-13,26,338.3860144,5.031098067,0.890365887,12.351
3.26E-13,27,343.3683698,4.934621291,0.908174868,12.35
3.91E-13,28,348.2571768,4.843906351,0.92546175,12.347
7.70E-13,29,353.0579246,4.75841978,0.942257032,12.344
6.19E-13,30,357.7756026,4.677693782,0.958579959,12.342
6.39E-13,31,362.4147611,4.601316275,0.974455031,12.339
1.23E-12,32,366.9795627,4.528922711,0.989902848,12.338
1.20E-12,33,371.4738262,4.460189311,1.004938277,12.334
1.27E-12,34,375.9010648,4.394827433,1.01958582,12.332
1.14E-12,35,380.2645185,4.332578857,1.033855834,12.329
1.11E-12,36,384.5671828,4.273211817,1.047768333,12.327
7.25E-13,37,388.8118329,4.216517648,1.061333939,12.323
9.29E-13,38,393.001046,4.162307927,1.074570699,12.319
6.46E-13,39,397.1372198,4.110412043,1.087487614,12.316
2.02E-12,40,401.2225896,4.060675104,1.100101052,12.313
8.22E-13,41,405.2592426,4.012956143,1.112418673,12.309
1.46E-12,42,409.2491315,3.967126555,1.124453475,12.306
1.27E-12,43,413.1940862,3.923068755,1.136215842,12.303
1.56E-12,44,417.0958236,3.880675003,1.14771374,12.299
1.65E-12,45,420.9559578,3.839846375,1.158958415,12.295
1.17E-12,46,424.7760077,3.800491867,1.169958725,12.291
1.06E-12,47,428.5574049,3.762527603,1.180721244,12.287
1.20E-12,48,432.3015004,3.725876143,1.191255823,12.283
1.05E-12,49,436.0095708,3.690465862,1.201568273,12.279
2.44E-12,50,439.6828237,3.656230408,1.211667654,12.274
9.64E-13,51,443.3224027,3.623108218,1.221560861,12.269
2.41E-12,52,446.9293921,3.591042083,1.231250999,12.266
9.96E-13,53,450.5048211,3.55997877,1.240747877,12.261
3.29E-12,54,454.0496673,3.529868668,1.250057494,12.256
2.61E-12,55,457.5648607,3.500665488,1.259183893,12.252
3.14E-12,56,461.0512862,3.472325979,1.268132592,12.247
2.06E-12,57,464.509787,3.444809681,1.276910542,12.243
2.56E-12,58,467.9411673,3.4180787,1.285521133,12.238
1.92E-12,59,471.3461943,3.392097503,1.293969202,12.234
2.35E-12,60,474.7256011,3.366832737,1.302261032,12.229
2.00E-12,61,478.0800881,3.342253055,1.310399441,12.224
2.27E-12,62,481.4103257,3.318328971,1.318388732,12.219
2.05E-12,63,484.7169553,3.29503272,1.326234594,12.214
1.98E-12,64,488.0005917,3.272338131,1.33393782,12.209
1.94E-12,65,491.2618239,3.250220512,1.341505362,12.204
2.22E-12,66,494.5012172,3.228656545,1.348939311,12.199
2.53E-12,67,497.7193142,3.207624195,1.356244729,12.194
1.66E-12,68,500.9166359,3.187102612,1.363421925,12.189
1.88E-12,69,504.0936831,3.16707206,1.370477234,12.184
1.88E-12,70,507.2509374,3.147513839,1.377412275,12.179
4.84E-12,71,510.3888623,3.128410213,1.38423158,12.174
5.02E-12,72,513.5079038,3.109744355,1.390935095,12.168
4.57E-12,73,516.6084916,3.091500281,1.397527152,12.163
2.13E-12,74,519.6910399,3.073662803,1.404011944,12.158
4.92E-12,75,522.7559479,3.056217476,1.410390631,12.152
4.95E-12,76,525.8036009,3.039150551,1.416665769,12.147
4.57E-12,77,528.8343708,3.022448938,1.422839821,12.142
1.82E-12,78,531.8486164,3.00610016,1.428916594,12.138
4.31E-12,79,534.8466847,2.990092321,1.434895544,12.132
5.25E-12,80,537.8289109,2.974414072,1.440781736,12.126
4.22E-12,81,540.7956191,2.959054578,1.446574515,12.121
5.74E-12,82,543.7471229,2.944003486,1.452278772,12.115
5.06E-12,83,546.6837256,2.929250905,1.457895132,12.11
5.39E-12,84,549.605721,2.914787375,1.463425554,12.105
4.24E-12,85,552.5133937,2.900603841,1.468873304,12.1
6.02E-12,86,555.4070191,2.88669164,1.474237497,12.094
5.42E-12,87,558.2868646,2.87304247,1.479521291,12.089
4.68E-12,88,561.1531891,2.859648377,1.484727756,12.084
5.89E-12,89,564.0062439,2.846501735,1.489855897,12.078
4.39E-12,90,566.8462726,2.833595228,1.49491001,12.073
5.11E-12,91,569.673512,2.820921835,1.49989035,12.068
5.50E-12,92,572.4881917,2.808474816,1.504798457,12.062
5.14E-12,93,575.2905349,2.796247696,1.509634523,12.056
5.41E-12,94,578.0807584,2.784234252,1.514403907,12.052
4.61E-12,95,580.8590727,2.772428504,1.519104117,12.046
3.78E-12,96,583.6256827,2.760824696,1.523737828,12.041
5.34E-12,97,586.3807875,2.749417294,1.528306378,12.035
3.37E-12,98,589.124581,2.738200969,1.532811068,12.031
4.50E-12,99,591.8572514,2.727170589,1.53725441,12.025
5.27E-12,100,594.5789825,2.716321211,1.541635118,12.019
3.41E-12,101,597.2899526,2.705648071,1.545956898,12.015
3.57E-12,102,599.9903358,2.695146576,1.550218414,12.009
3.93E-12,103,602.6803015,2.684812298,1.554423287,12.004
3.69E-12,104,605.3600147,2.674640963,1.558570146,11.998
3.65E-12,105,608.0296364,2.664628448,1.562662535,11.993
3.44E-12,106,610.6893232,2.654770771,1.566700258,11.988
3.08E-12,107,613.3392282,2.645064088,1.570684339,11.983
4.16E-12,108,615.9795005,2.635504683,1.574614568,11.977
3.43E-12,109,618.6102855,2.626088969,1.578494333,11.972
9.31E-12,110,621.2317252,2.616813474,1.582323367,11.966
4.11E-12,111,623.8439581,2.607674844,1.586102592,11.961
1.01E-11,112,626.4471194,2.598669832,1.589832908,11.955
4.24E-12,113,629.0413412,2.589795299,1.593515192,11.95
3.22E-12,114,631.6267525,2.581048206,1.597151473,11.946
4.31E-12,115,634.2034791,2.572425609,1.600740236,11.94
9.66E-12,116,636.7716442,2.563924659,1.604283473,11.934
1.04E-11,117,639.3313681,2.555542595,1.60778198,11.929
4.48E-12,118,641.8827682,2.547276744,1.611236537,11.924
9.08E-12,119,644.4259594,2.539124512,1.614649047,11.919
3.43E-12,120,646.9610542,2.531083386,1.618017953,11.914
1.15E-11,121,649.4881624,2.52315093,1.621345129,11.908
