P_out, P_c, E,dE/dP, M, R
9.93E-13,1.5,122.1740986,23.01241446,0.11355097,22.417
9.85E-13,1.6,124.451439,22.53619103,0.120352112,20.738
9.97E-13,1.7,126.681692,22.07062354,0.127154232,19.473
9.69E-13,1.8,128.865911,21.61547341,0.13394079,18.493
9.65E-13,1.9,131.0051261,21.17050736,0.140680419,17.714
9.68E-13,2,133.1003443,20.73549737,0.147362064,17.08
9.71E-13,2.1,135.15255,20.31022049,0.153992504,16.559
9.50E-13,2.2,137.1627056,19.89445881,0.160561641,16.125
9.44E-13,2.3,139.1317519,19.48799924,0.16704404,15.755
9.99E-13,2.4,141.0606086,19.09063351,0.17346329,15.437
9.74E-13,2.5,142.9501749,18.70215799,0.179810214,15.165
9.64E-13,2.6,144.8013299,18.32237362,0.186091322,14.929
9.16E-13,2.7,146.6149328,17.95108579,0.192282487,14.72
8.90E-13,2.8,148.3918239,17.58810425,0.198420173,14.538
8.86E-13,2.9,150.1328244,17.23324301,0.204480076,14.375
9.17E-13,3,151.8387371,16.88632024,0.210467953,14.228
8.91E-13,3.1,153.5103471,16.5471582,0.216389119,14.097
9.76E-13,3.2,155.1484216,16.2155831,0.222248451,13.979
9.63E-13,3.3,156.7537109,15.89142507,0.228050455,13.873
8.64E-13,3.4,158.3269484,15.57451802,0.233785578,13.778
8.64E-13,3.5,159.8688508,15.26469961,0.23945816,13.689
9.27E-13,3.6,161.3801193,14.96181109,0.245072243,13.608
9.41E-13,3.7,162.8614389,14.6656973,0.250631558,13.534
9.19E-13,3.8,164.3134795,14.37620656,0.256152784,13.468
8.70E-13,3.9,165.736896,14.09319054,0.261599674,13.404
8.63E-13,4,167.1323286,13.81650429,0.267014767,13.348
9.45E-13,4.1,168.5004031,13.54600607,0.272374968,13.295
8.28E-13,4.2,169.8417314,13.28155731,0.277683289,13.246
9.64E-13,4.3,171.1569117,13.02302257,0.282955119,13.2
9.89E-13,4.4,172.4465287,12.77026941,0.288180327,13.157
9.03E-13,4.5,173.711154,12.52316839,0.293361435,13.118
8.46E-13,4.6,174.9513465,12.28159294,0.29851301,13.082
9.57E-13,4.7,176.1676526,12.04541934,0.303612723,13.046
8.04E-13,4.8,177.3606064,11.81452663,0.308687004,13.016
9.88E-13,4.9,178.5307301,11.58879657,0.313713673,12.984
8.41E-13,5,179.678534,11.36811355,0.318718553,12.958
8.97E-13,6,190.0334388,9.415217726,0.367051548,12.754
9.63E-13,7,198.6404395,7.857406236,0.413033604,12.642
7.12E-13,8,205.8530794,6.61461667,0.457343138,12.584
6.59E-13,9,211.953258,5.623011229,0.500415152,12.556
7.49E-13,10,217.165749,4.831688818,0.542541935,12.549
7.48E-13,11,221.6697772,4.200063428,0.583918202,12.558
5.85E-13,12,225.6082487,3.695773784,0.624655576,12.577
7.15E-13,13,229.0951111,3.293016612,0.664827791,12.603
4.91E-13,14,232.2212219,2.971217656,0.70447873,12.636
6.24E-13,15,235.0590275,2.713972025,0.743619323,12.673
5.68E-13,16,237.6662943,2.50819927,0.782252164,12.712
9.52E-13,17,240.0890838,2.343469686,0.820376577,12.754
7.07E-13,18,242.3641241,2.211467144,0.85797826,12.797
8.31E-13,19,244.5207019,2.10556077,0.895046716,12.843
5.15E-13,20,246.5821702,2.020463434,0.931563326,12.889
3.44E-13,21,248.5671505,1.951959439,0.967516432,12.935
3.69E-13,22,250.4904922,1.896687391,1.002888926,12.98
5.92E-13,23,252.3640365,1.851967084,1.037671787,13.025
6.30E-13,24,254.1972264,1.815661449,1.071857716,13.069
1.18E-12,25,255.9975925,1.786066492,1.105441319,13.114
1.44E-12,26,257.7711404,1.76182353,1.138419126,13.157
1.42E-12,27,259.52266,1.741849214,1.170783881,13.199
1.34E-12,28,261.2559718,1.725279734,1.20253609,13.24
7.87E-13,29,262.9741233,1.711426328,1.233677881,13.28
7.51E-13,30,264.6795455,1.699739808,1.264212851,13.32
6.84E-13,31,266.3741783,1.689782277,1.294145898,13.358
7.00E-13,32,268.0595693,1.681204576,1.323477841,13.395
1.45E-12,33,269.7369539,1.6737283,1.352221125,13.432
1.12E-12,34,271.4073185,1.667131461,1.380378574,13.467
1.22E-12,35,273.0714506,1.661237053,1.407964021,13.501
9.28E-13,36,274.7299794,1.655903939,1.434976764,13.533
2.28E-12,37,276.3834078,1.651019581,1.461436697,13.566
2.21E-12,38,278.032138,1.646494245,1.487349028,13.597
3.09E-12,39,279.676492,1.642256377,1.512724308,13.627
1.90E-12,40,281.3167275,1.638248924,1.537568578,13.657
2.72E-12,41,282.9530513,1.634426391,1.561897555,13.684
2.35E-12,42,284.5856297,1.6307525,1.585722209,13.711
1.95E-12,43,286.2145962,1.627198323,1.609048977,13.738
2.61E-12,44,287.8400585,1.623740792,1.631893501,13.763
1.68E-12,45,289.4621038,1.620361511,1.654262243,13.788
2.06E-12,46,291.0808027,1.617045811,1.67617061,13.812
1.76E-12,47,292.6962127,1.61378199,1.697624951,13.835
2.19E-12,48,294.3083808,1.61056072,1.718635997,13.856
2.06E-12,49,295.9173458,1.607374557,1.739218598,13.878
4.98E-12,50,297.5231397,1.604217566,1.75937877,13.899
1.89E-12,51,299.1257891,1.60108501,1.779126731,13.919
1.89E-12,52,300.7253166,1.597973112,1.798468324,13.938
5.36E-12,53,302.3217412,1.594878857,1.817421729,13.956
4.92E-12,54,303.9150794,1.591799839,1.835992335,13.974
4.35E-12,55,305.5053453,1.588734136,1.854189541,13.992
4.14E-12,56,307.0925516,1.585680217,1.872022493,14.009
5.07E-12,57,308.6767093,1.582636854,1.889500179,14.025
