P_out, P_c, E, dE/dP, M, R
9.75E-13,1.5,113.8691512,26.02113899,0.147499488,20.408
9.73E-13,1.6,116.4192051,24.99824959,0.154627452,19.525
9.90E-13,1.7,118.8721687,24.07651512,0.161686602,18.805
9.41E-13,1.8,121.2373719,23.24079091,0.168673605,18.209
9.85E-13,1.9,123.522785,22.47888556,0.175590688,17.707
9.97E-13,2,125.7352766,21.78086484,0.182426155,17.277
9.53E-13,2.1,127.8808132,21.13854537,0.18918788,16.911
9.73E-13,2.2,129.9646143,20.54511983,0.1958696,16.59
9.82E-13,2.3,131.9912755,19.99487533,0.202479015,16.31
9.78E-13,2.4,133.9648668,19.48297883,0.209010126,16.063
9.18E-13,2.5,135.8890116,19.00531164,0.215466043,15.845
9.17E-13,2.6,137.7669518,18.55834016,0.221849608,15.649
9.46E-13,2.7,139.6016007,18.13901407,0.228163514,15.473
9.88E-13,2.8,141.3955875,17.74468518,0.234406178,15.315
8.85E-13,2.9,143.1512936,17.37304231,0.240580147,15.173
8.75E-13,3,144.8708843,17.0220585,0.24668379,15.043
9.51E-13,3.1,146.5563342,16.68994794,0.252723461,14.924
9.25E-13,3.2,148.2094501,16.37513066,0.258701258,14.816
9.36E-13,3.3,149.8318899,16.07620317,0.264615314,14.717
9.49E-13,3.4,151.4251786,15.79191414,0.270467624,14.625
9.47E-13,3.5,152.9907232,15.521144,0.276260102,14.541
9.84E-13,3.6,154.5298244,15.26288775,0.281990796,14.462
8.32E-13,3.7,156.0436876,15.01624047,0.287668911,14.391
8.48E-13,3.8,157.5334321,14.78038494,0.293288628,14.324
9.43E-13,3.9,159.0000996,14.55458109,0.298851593,14.261
8.83E-13,4,160.4446609,14.338157,0.304362917,14.202
8.90E-13,4.1,161.8680232,14.13050105,0.309823989,14.148
8.26E-13,4.2,163.2710348,13.93105523,0.315229114,14.097
8.63E-13,4.3,164.6544908,13.7393093,0.320586664,14.049
9.75E-13,4.4,166.0191377,13.55479568,0.325894398,14.004
9.50E-13,4.5,167.3656767,13.37708502,0.331156944,13.963
8.22E-13,4.6,168.6947682,13.2057823,0.336368627,13.923
9.64E-13,4.7,170.0070346,13.04052341,0.341534014,13.885
9.14E-13,4.8,171.3030631,12.88097217,0.346654177,13.85
7.97E-13,4.9,172.5834089,12.72681757,0.351730136,13.817
9.85E-13,5,173.8485969,12.57777153,0.356766156,13.786
7.66E-13,6,185.7647511,11.31764649,0.404866469,13.547
7.14E-13,7,196.5846066,10.36245427,0.449386976,13.398
8.99E-13,8,206.5562858,9.608483603,0.490858314,13.297
7.59E-13,9,215.848202,8.995113747,0.529694307,13.227
8.02E-13,10,224.5805715,8.484330632,0.566221336,13.177
6.52E-13,11,232.84259,8.050979041,0.600700834,13.138
7.47E-13,12,240.7024966,7.677689328,0.633356074,13.109
8.86E-13,13,248.2138152,7.352046382,0.664361248,13.085
7.73E-13,14,255.4194033,7.064918917,0.693877095,13.066
9.94E-13,15,262.3541809,6.809427156,0.72203032,13.05
9.06E-13,16,269.0470266,6.580279941,0.748939672,13.037
8.27E-13,17,275.5221322,6.373334922,0.774698679,13.024
7.08E-13,18,281.7999922,6.185298422,0.799400356,13.014
4.69E-13,19,287.8981415,6.013515535,0.823119446,13.005
8.06E-13,20,293.831715,5.855820143,0.845924018,12.995
8.13E-13,21,299.6138788,5.710425676,0.867876533,12.988
8.14E-13,22,305.256168,5.575844194,0.889033009,12.979
7.65E-13,23,310.7687527,5.450825512,0.909442258,12.972
8.06E-13,24,316.160652,5.334310785,0.929150071,12.964
4.76E-13,25,321.4399064,5.225396658,0.948196426,12.957
6.64E-13,26,326.613719,5.123307269,0.966620914,12.95
3.25E-13,27,331.6885714,5.027372152,0.984456656,12.944
8.37E-13,28,336.6703197,4.937008629,1.001735536,12.935
7.47E-13,29,341.5642755,4.85170765,1.018486898,12.928
7.47E-13,30,346.375273,4.771022325,1.034736307,12.921
