P_out, P_c, E_c, rho/rho_sat, dE_dP, M, R
9.988083476741243e-13, 1.8, 184.6755383771598, 1.0452961672473868, 103.59752132064433,0.06227558998783717, 71.55499999997761
9.975140667898295e-13, 1.9000000000000001, 195.0380182296378, 1.1033681765389085, 103.65158854191462,0.06509375494611394, 48.21999999997832
9.969570779017435e-13, 2.0, 205.40576367260434, 1.1614401858304297, 103.70288183630217,0.06819168704270508, 36.99900000000447
9.977129011187683e-13, 2.1000000000000005, 215.77851120099044, 1.2195121951219516, 103.7516720004716,0.0712328538627383, 30.81700000001468
9.8816189838281e-13, 2.2, 226.1560224354343, 1.2775842044134729, 103.79819201610648,0.07395527657217278, 27.187000000010244
9.855731761556079e-13, 2.3000000000000007, 236.53808069095794, 1.3356562137049945, 103.84264377867733,0.07635056371696085, 24.764000000007282
9.84637184735185e-13, 2.4000000000000004, 246.92448814343075, 1.3937282229965158, 103.88520339309612,0.07852438964887806, 23.056000000005195
9.79133861473079e-13, 2.500000000000001, 257.31506346904104, 1.4518002322880377, 103.92602538761638,0.08046425068985762, 21.772000000003626
9.78513519451167e-13, 2.6000000000000005, 267.7096398620012, 1.5098722415795591, 103.96524610076966,0.08221615162098642, 20.781000000002415
9.85464789961926e-13, 2.700000000000001, 278.1080633576319, 1.5679442508710808, 104.00298642875251,0.08376997832219386, 19.96800000000142
9.74702096137082e-13, 2.8000000000000007, 288.51019140418555, 1.626016260162602, 104.03935407292337,0.08521859774222121, 19.325000000000635
9.921589250411614e-13, 2.9000000000000012, 298.9158916389306, 1.6840882694541237, 104.07444539273465,0.08649252887137637, 18.766999999999953
9.955947135125077e-13, 3.000000000000001, 309.32504083323107, 1.7421602787456452, 104.10834694441033,0.08766650773632852, 18.300999999999384
9.680688350441854e-13, 3.1000000000000014, 319.7375239784234, 1.8002322880371668, 104.14113676723332,0.08873388886309085, 17.900999999998895
9.878060321000183e-13, 3.200000000000001, 330.15323348975335, 1.8583042973286883, 104.17288546554789,0.08968432652658057, 17.538999999998452
9.814163207311557e-13, 3.3000000000000016, 340.57206850990843, 1.91637630662021, 104.20365712421466,0.09057577726011184, 17.235999999998082
9.923318787313707e-13, 3.4000000000000012, 350.9939342970388, 1.9744483159117312, 104.23351008736434,0.09139067961479724, 16.96499999999775
9.999363802712274e-13, 3.5000000000000018, 361.41874168483173, 2.032520325203253, 104.26249762423758,0.09211002283472325, 16.708999999997438
9.869221292506493e-13, 3.6000000000000014, 371.84640660433547, 2.0905923344947746, 104.29066850120428,0.09278286475069088, 16.485999999997166
9.870111407938618e-13, 3.700000000000002, 382.276849658952, 2.148664343786296, 104.3180674753924,0.09342065373028781, 16.294999999996932
9.97382722292503e-13, 3.8000000000000016, 392.7099957454034, 2.2067363530778175, 104.34473572247455,0.09399922319844488, 16.116999999996715
9.576418218856024e-13, 3.900000000000002, 403.1457737146236, 2.2648083623693394, 104.37071120887782,0.09452782582477681, 15.954999999996597
9.601890638579592e-13, 4.000000000000002, 413.5841160674486, 2.3228803716608604, 104.39602901686212,0.09498092643483483, 15.78799999999669
9.927623187236248e-13, 4.100000000000002, 424.02495868075533, 2.3809523809523823, 104.42072162945249,0.09543296602788295, 15.650999999996765
9.513691348832793e-13, 4.200000000000002, 434.4682405603326, 2.4390243902439037, 104.44481918103155,0.09582317021243988, 15.513999999996841
9.768583129045127e-13, 4.3000000000000025, 444.91390361729964, 2.4970963995354256, 104.46834967844174,0.09622338848495711, 15.404999999996901
9.465532594512836e-13, 4.400000000000002, 455.36189246533246, 2.5551684088269466, 104.49133919666643,0.09653960593749022, 15.277999999996972
9.696038586886993e-13, 4.500000000000003, 465.8121542363334, 2.6132404181184685, 104.51381205251849,0.09687479705535001, 15.182999999997024
9.528504081665455e-13, 4.600000000000002, 476.26463841249165, 2.6713124274099895, 104.53579095923727,0.09713505849154627, 15.068999999997088
9.531713604560612e-13, 4.700000000000003, 486.71929667295393, 2.7293844367015114, 104.55729716445823,0.09742122725445773, 14.984999999997134
9.7313883764397e-13, 4.8000000000000025, 491.29534706653527, 2.754798161984603, 34.45106576850934,0.09759720266343559, 14.926999999997166
9.419024186212699e-13, 4.900000000000003, 494.71714566475094, 2.773797370376911, 33.98756092957484,0.09784736920077373, 14.833999999997218
9.439659951300923e-13, 5.0, 498.09337592577174, 2.7925398130374472, 33.539558395051415,0.09806058050260233, 14.73899999999727
9.9453152263397e-13, 6.0, 529.6465477576605, 2.96751636210785, 29.758141542092215,0.09959742869972682, 14.022999999997667
9.789664230610181e-13, 7.0, 557.9148294169496, 3.1239834091670433, 26.900706162711856,0.10138344758035807, 13.302999999998066
9.414181175253589e-13, 8.0, 583.6495288591016, 3.2661743791948545, 24.652063702462534,0.10378335013308394, 12.580999999998467
9.412053644664914e-13, 9.0, 607.3598040097374, 3.3969582447149063, 22.82814088924951,0.10670059958268663, 11.909999999998838
9.920433550435837e-13, 10.0, 629.4085265173429, 3.518379693115373, 21.313617550578076,0.11001117834705042, 11.305999999999173
9.707324226381514e-13, 11.0, 650.0645058452628, 3.6319533958284755, 20.032257752886732,0.1136319490161556, 10.781999999999464
8.734002840938157e-13, 12.0, 669.5330713743421, 3.7388363305271373, 18.931474204842814,0.11748106141812556, 10.330999999999714
8.529032588640439e-13, 13.0, 687.9750219636998, 3.839934556972836, 17.97371851188972,0.12150004251473585, 9.943999999999928
8.396493701873133e-13, 14.0, 705.5189139562901, 3.9359724567319065, 17.131402713244984,0.12561038912296457, 9.59900000000012
8.910127303714821e-13, 15.0, 722.2693334761422, 4.027539345419589, 16.383762966136477,0.1298071095617976, 9.303000000000283
9.639326277956718e-13, 16.0, 738.3126429712278, 4.115121852974917, 15.714846728567228,0.13407278728162308, 9.051000000000423
9.961018284376915e-13, 17.0, 753.7210812945635, 4.199127026551659, 15.112178064599268,0.13834727686841194, 8.82100000000055
8.881398899043171e-13, 18.0, 768.5557572073658, 4.27989919813025, 14.565847355691945,0.14264509313255425, 8.62200000000066
7.777376248410109e-13, 19.0, 782.8688792442624, 4.357732549228462, 14.067875074460732,0.1469504375252974, 8.449000000000757
8.410964405074288e-13, 20.0, 796.7054462930413, 4.432880636878722, 13.611757438217344,0.1512512363201201, 8.296000000000841
8.409848473638711e-13, 21.0, 810.1045494986506, 4.505563729518641, 13.192135706327774,0.15552439069277205, 8.15300000000092
9.059199713544494e-13, 22.0, 823.1003889295333, 4.575974535641462, 12.804551347417158,0.1597914802607886, 8.031000000000988
9.584963574174224e-13, 23.0, 835.7230775044576, 4.644282733714716, 12.445261992818214,0.16401957179736978, 7.915000000000978
7.59131409420444e-13, 24.0, 847.9992839259306, 4.7106385949428455, 12.11110116563791,0.16823140489672866, 7.816000000000945
8.056714330130138e-13, 25.0, 859.9527521653714, 4.775175910431075, 11.799370028871605,0.1724104494706332, 7.726000000000915
8.914214975260795e-13, 26.0, 871.6047251496361, 4.83801437854882, 11.507752886533783,0.17654247310320811, 7.637000000000885
7.748401298176605e-13, 27.0, 882.974293288652, 4.899261568792282, 11.234250534427789,0.18065021644690915, 7.56100000000086
6.684076839368913e-13, 28.0, 894.0786834432353, 4.9590145500429665, 10.977127183848028,0.18473169908116427, 7.495000000000838
8.643042668722064e-13, 29.0, 904.9335002573456, 5.01736125041219, 10.734867819049937,0.1887629452145985, 7.427000000000815
7.672841088717836e-13, 30.0, 915.5529290659194, 5.074381600573958, 10.506143656287982,0.19275526806775206, 7.365000000000794
5.839692197117759e-13, 31.0, 925.9499075628836, 5.130148501069593, 10.28978395228906,0.1967190399412803, 7.3120000000007765
7.71440016167706e-13, 32.0, 936.1362718838085, 5.184728645445492, 10.084752832122996,0.2006430873577034, 7.2610000000007595
6.010056067098601e-13, 33.0, 946.1228815907369, 5.238183224510151, 9.89013011707814,0.20452756142263775, 7.214000000000744
5.847232369588098e-13, 34.0, 955.9197271484389, 5.2905685319349045, 9.705095364200371,0.20837270997685955, 7.1680000000007285
8.096031045929402e-13, 35.0, 965.5360227838474, 5.34193648749271, 9.5289145027033,0.21218862546553796, 7.129000000000715
8.671325813674901e-13, 36.0, 974.9802870743994, 5.392335091152491, 9.360928584022208,0.2159559414237576, 7.087000000000701
7.458548877015783e-13, 37.0, 984.2604131802894, 5.4418088188196245, 9.200544262885481,0.21969450748945243, 7.051000000000689
6.231326837257222e-13, 38.0, 993.3837302934522, 5.490398968584986, 9.04722570432852,0.22339502213509466, 7.018000000000678
5.016884061291313e-13, 39.0, 1002.3570576023773, 5.538143964802641, 8.900487671815181,0.22706719249954269, 6.990000000000669
8.984782403072749e-13, 40.0, 1011.1867518515431, 5.5850796260748945, 8.75988959876285,0.23069310335157345, 6.957000000000658
7.01341978452258e-13, 41.0, 1019.8787493958399, 5.6312394022180285, 8.625030482893,0.23429144224307474, 6.93200000000065
6.327619791798151e-13, 42.0, 1028.4386035050566, 5.676654584463386, 8.495544472262345,0.2378450444452779, 6.90200000000064
